INFO:__main__:Hello World
2016-03-14 15:36:26,302 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:26,303 200
2016-03-14 15:36:29,309 Starting new HTTP connection (1): localhost
2016-03-14 15:36:29,312 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:29,312 200
2016-03-14 15:36:32,320 Starting new HTTP connection (1): localhost
2016-03-14 15:36:32,322 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:32,323 200
2016-03-14 15:36:35,330 Starting new HTTP connection (1): localhost
2016-03-14 15:36:35,332 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:35,333 200
2016-03-14 15:36:38,340 Starting new HTTP connection (1): localhost
2016-03-14 15:36:38,350 "GET / HTTP/1.1" 500 4331
2016-03-14 15:36:38,350 500
2016-03-14 15:36:41,358 Starting new HTTP connection (1): localhost
2016-03-14 15:36:41,360 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:41,361 200
2016-03-14 15:36:44,364 Starting new HTTP connection (1): localhost
2016-03-14 15:36:44,366 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:44,367 200
2016-03-14 15:36:47,371 Starting new HTTP connection (1): localhost
2016-03-14 15:36:47,381 "GET / HTTP/1.1" 500 4331
2016-03-14 15:36:47,382 500
2016-03-14 15:37:33,152 Starting new HTTP connection (1): localhost
2016-03-14 15:37:33,155 200
2016-03-14 15:37:36,162 Starting new HTTP connection (1): localhost
2016-03-14 15:37:36,164 200
2016-03-14 15:37:39,168 Starting new HTTP connection (1): localhost
2016-03-14 15:37:39,171 200
2016-03-14 15:37:42,180 Starting new HTTP connection (1): localhost
2016-03-14 15:37:42,182 200
2016-03-14 15:37:45,188 Starting new HTTP connection (1): localhost
2016-03-14 15:37:45,191 200
2016-03-14 15:37:48,200 Starting new HTTP connection (1): localhost
2016-03-14 15:37:48,210 500
2016-03-14 15:37:51,217 Starting new HTTP connection (1): localhost
2016-03-14 15:37:51,221 200
2016-03-14 15:37:54,228 Starting new HTTP connection (1): localhost
2016-03-14 15:37:54,231 200
2016-03-14 15:37:57,235 Starting new HTTP connection (1): localhost
2016-03-14 15:37:57,239 200
2016-03-14 15:38:00,242 Starting new HTTP connection (1): localhost
2016-03-14 15:38:00,245 200
2016-03-14 15:38:03,254 Starting new HTTP connection (1): localhost
2016-03-14 15:38:03,256 200
2016-03-14 15:38:06,264 Starting new HTTP connection (1): localhost
2016-03-14 15:38:06,267 200
2016-03-14 15:38:09,272 Starting new HTTP connection (1): localhost
2016-03-14 15:38:09,282 500
2016-03-14 15:39:20,606 500
2016-03-14 15:39:23,616 200
2016-03-14 15:39:26,628 200
2016-03-14 15:39:29,647 500
2016-03-14 15:39:32,666 500
2016-03-14 15:41:04,780 500
2016-03-14 15:41:07,791 200
2016-03-14 15:41:10,799 200
2016-03-14 15:41:13,819 500
2016-03-14 15:41:16,830 200
2016-03-14 15:58:21,194 200
2016-03-14 15:58:24,205 200
2016-03-14 15:58:27,212 200
2016-03-14 15:58:30,218 200
2016-03-14 15:58:51,814 500
2016-03-14 15:58:53,824 200
2016-03-14 15:58:55,843 500
2016-03-14 15:58:57,854 200
2016-03-14 15:58:59,861 200
2016-03-14 15:59:01,872 200
2016-03-14 15:59:03,883 200
2016-03-14 15:59:05,902 500
2016-03-14 15:59:07,909 200
2016-03-14 15:59:09,919 200
2016-03-14 15:59:11,931 200
2016-03-14 15:59:13,945 500
2016-03-14 15:59:15,961 500
2016-03-14 15:59:17,969 200
2016-03-14 15:59:19,977 200
2016-03-14 15:59:21,988 200
2016-03-14 15:59:23,998 200
2016-03-14 15:59:26,008 200
2016-03-14 15:59:28,015 200
2016-03-14 15:59:55,306 200
2016-03-14 15:59:55,306 9
2016-03-14 15:59:57,318 200
2016-03-14 15:59:57,318 9
